Time (sec),Q1,Q2,T1,T2,Set Point 1 (degC),Set Point 2 (degC)
196.00000000,80.00000000,0.00000000,59.45314015,30.12406950,23.00000000,23.00000000
197.00000000,80.00000000,0.00000000,59.56651354,30.17845826,23.00000000,23.00000000
198.00000000,80.00000000,0.00000000,59.67902780,30.23276674,23.00000000,23.00000000
199.00000000,80.00000000,0.00000000,59.79068973,30.28699291,23.00000000,23.00000000
200.00000000,20.00000000,0.00000000,59.90150607,30.34113474,23.00000000,23.00000000
201.00000000,20.00000000,0.00000000,60.00515312,30.39518358,23.00000000,23.00000000
202.00000000,20.00000000,0.00000000,60.09574703,30.44910470,23.00000000,23.00000000
203.00000000,20.00000000,0.00000000,60.17392224,30.50285893,23.00000000,23.00000000
204.00000000,20.00000000,0.00000000,60.24028555,30.55640937,23.00000000,23.00000000
205.00000000,20.00000000,0.00000000,60.29541728,30.60972131,23.00000000,23.00000000
206.00000000,20.00000000,0.00000000,60.33987241,30.66276209,23.00000000,23.00000000
207.00000000,20.00000000,0.00000000,60.37418165,30.71550108,23.00000000,23.00000000
208.00000000,20.00000000,0.00000000,60.39885247,30.76790949,23.00000000,23.00000000
209.00000000,20.00000000,0.00000000,60.41437011,30.81996038,23.00000000,23.00000000
210.00000000,20.00000000,0.00000000,60.42119849,30.87162849,23.00000000,23.00000000
211.00000000,20.00000000,0.00000000,60.41978115,30.92289024,23.00000000,23.00000000
212.00000000,20.00000000,0.00000000,60.41054209,30.97372358,23.00000000,23.00000000
213.00000000,20.00000000,0.00000000,60.39388663,31.02410797,23.00000000,23.00000000
214.00000000,20.00000000,0.00000000,60.37020220,31.07402429,23.00000000,23.00000000
215.00000000,20.00000000,0.00000000,60.33985907,31.12345476,23.00000000,23.00000000
216.00000000,20.00000000,0.00000000,60.30321114,31.17238291,23.00000000,23.00000000
217.00000000,20.00000000,0.00000000,60.26059659,31.22079348,23.00000000,23.00000000
218.00000000,20.00000000,0.00000000,60.21233856,31.26867238,23.00000000,23.00000000
219.00000000,20.00000000,0.00000000,60.15874582,31.31600665,23.00000000,23.00000000
220.00000000,20.00000000,0.00000000,60.10011335,31.36278438,23.00000000,23.00000000
221.00000000,20.00000000,0.00000000,60.03672294,31.40899466,23.00000000,23.00000000
222.00000000,20.00000000,0.00000000,59.96884379,31.45462755,23.00000000,23.00000000
223.00000000,20.00000000,0.00000000,59.89673298,31.49967402,23.00000000,23.00000000
224.00000000,20.00000000,0.00000000,59.82063605,31.54412592,23.00000000,23.00000000
225.00000000,20.00000000,0.00000000,59.74078746,31.58797589,23.00000000,23.00000000
226.00000000,20.00000000,0.00000000,59.65741107,31.63121739,23.00000000,23.00000000
227.00000000,20.00000000,0.00000000,59.57072063,31.67384461,23.00000000,23.00000000
228.00000000,20.00000000,0.00000000,59.48092389,31.71585236,23.00000000,23.00000000
229.00000000,20.00000000,0.00000000,59.38821200,31.75723630,23.00000000,23.00000000
230.00000000,20.00000000,0.00000000,59.29277079,31.79799265,23.00000000,23.00000000
231.00000000,20.00000000,0.00000000,59.19477761,31.83811822,23.00000000,23.00000000
232.00000000,20.00000000,0.00000000,59.09440165,31.87761039,23.00000000,23.00000000
233.00000000,20.00000000,0.00000000,58.99180430,31.91646709,23.00000000,23.00000000
